"","gene","celltype"
"1","Slc32a1","iNeuron"
"2","Dlx6os1","iNeuron"
"3","Dlx1","iNeuron"
"4","Pnoc","iNeuron"
"5","Htr3a","iNeuron"
"6","Gad2","iNeuron"
"7","Adarb2","iNeuron"
"8","Arx","iNeuron"
"9","Igf1","iNeuron"
"10","Btbd11","iNeuron"
"11","Zcchc12","iNeuron"
"12","Arl4c","iNeuron"
"13","Rbms3","iNeuron"
"14","Npas1","iNeuron"
"15","Dpysl5","iNeuron"
"16","Tnfaip8l3","iNeuron"
"17","Cntnap2","iNeuron"
"18","Reln","iNeuron"
"19","Nrip3","iNeuron"
"20","Kit","iNeuron"
"21","Ubash3b","iNeuron"
"22","Vstm2a","iNeuron"
"23","Slc6a1","iNeuron"
"24","Shisa9","iNeuron"
"25","Pcp4l1","iNeuron"
"26","Celf6","iNeuron"
"27","Slc2a13","iNeuron"
"28","Klhl13","iNeuron"
"29","Ache","iNeuron"
"30","Sema3c","iNeuron"
"31","Dner","iNeuron"
"32","Tmem130","iNeuron"
"33","Cnr1","iNeuron"
"34","Cygb","iNeuron"
"35","Cplx1","iNeuron"
"36","Kcnc1","iNeuron"
"37","Fstl5","iNeuron"
"38","Grik1","iNeuron"
"39","Tspyl4","iNeuron"
"40","Usp29","iNeuron"
"41","Grip1","iNeuron"
"42","Galnt14","iNeuron"
"43","Abat","iNeuron"
"44","Rab27b","iNeuron"
"45","Nap1l5","iNeuron"
"46","Gprasp2","iNeuron"
"47","Chrna4","iNeuron"
"48","Nr2f2","iNeuron"
"49","Gng4","iNeuron"
"50","Dpysl4","iNeuron"
"51","Dzank1","iNeuron"
"52","Csdc2","iNeuron"
"53","Slc38a1","iNeuron"
"54","Slc24a3","iNeuron"
"55","Slc7a14","iNeuron"
"56","Zbtb16","iNeuron"
"57","Wdr6","iNeuron"
"58","Cadps","iNeuron"
"59","Cend1","iNeuron"
"60","Kcnd3","iNeuron"
"61","Maf","iNeuron"
"62","Zmat4","iNeuron"
"63","Fgf9","iNeuron"
"64","Clstn3","iNeuron"
"65","Prkar2b","iNeuron"
"66","Cacng2","iNeuron"
"67","Impact","iNeuron"
"68","Cxcl14","iNeuron"
"69","Syngr3","iNeuron"
"70","Frmpd4","iNeuron"
"71","Rph3a","iNeuron"
"72","Dpp6","iNeuron"
"73","Rgs8","iNeuron"
"74","Hcn3","iNeuron"
"75","Lgi2","iNeuron"
"76","Ptprn2","iNeuron"
"77","Igsf3","iNeuron"
"78","Gng2","iNeuron"
"79","Necab1","iNeuron"
"80","Ptpro","iNeuron"
"81","Bcat1","iNeuron"
"82","Tmem65","iNeuron"
"83","Nmnat2","iNeuron"
"84","Slc39a6","iNeuron"
"85","Alg2","iNeuron"
"86","Fndc5","iNeuron"
"87","Reps2","iNeuron"
"88","Sema6c","iNeuron"
"89","Peg3","iNeuron"
"90","Gdap1","iNeuron"
"91","Sv2a","iNeuron"
"92","Kcnn2","iNeuron"
"93","Ube2ql1","iNeuron"
"94","Gnl3l","iNeuron"
"95","Diras1","iNeuron"
"96","Ptprm","iNeuron"
"97","Adra1b","iNeuron"
"98","Hapln1","iNeuron"
"99","Trim32","iNeuron"
"100","Cxxc4","iNeuron"
"101","Afap1","iNeuron"
"102","Gng3","iNeuron"
"103","Apba1","iNeuron"
"104","Slc6a15","iNeuron"
"105","Dcaf12l1","iNeuron"
"106","Rgs12","iNeuron"
"107","Hrh3","iNeuron"
"108","Etl4","iNeuron"
"109","Dnm3","iNeuron"
"110","Tro","iNeuron"
"111","Nap1l2","iNeuron"
"112","Rasgrf2","iNeuron"
"113","Col19a1","iNeuron"
"114","Pip5k1b","iNeuron"
"115","Hcn1","iNeuron"
"116","Nt5dc3","iNeuron"
"117","Sntg1","iNeuron"
"118","Aldh5a1","iNeuron"
"119","Ogfrl1","iNeuron"
"120","Slc9a6","iNeuron"
"121","Kcnab1","iNeuron"
"122","Snx10","iNeuron"
"123","Kctd6","iNeuron"
"124","Slc35f1","iNeuron"
"125","Nrsn1","iNeuron"
"126","Pak3","iNeuron"
"127","Necap1","iNeuron"
"128","Sorbs1","iNeuron"
"129","Rnf14","iNeuron"
"130","Tmem179","iNeuron"
"131","Elovl4","iNeuron"
"132","Osbpl3","iNeuron"
"133","Homer2","iNeuron"
"134","Cep170b","iNeuron"
"135","Scn2b","iNeuron"
"136","Asic1","iNeuron"
"137","Pdxk","iNeuron"
"138","Dcaf7","iNeuron"
"139","Mapk9","iNeuron"
"140","Susd4","iNeuron"
"141","Dynll2","iNeuron"
"142","Clvs1","iNeuron"
"143","Sfxn1","iNeuron"
"144","Atxn1","iNeuron"
"145","Rcan2","iNeuron"
"146","Dscaml1","iNeuron"
"147","Plcxd2","iNeuron"
"148","Mapk8","iNeuron"
"149","Adarb1","iNeuron"
"150","Tmem38a","iNeuron"
"151","Rgs17","iNeuron"
"152","Lurap1l","iNeuron"
"153","Lrp12","iNeuron"
"154","Gdap1l1","iNeuron"
"155","Dnajc5","iNeuron"
"156","Osbpl8","iNeuron"
"157","Ncoa1","iNeuron"
"158","Setd7","iNeuron"
"159","Usp11","iNeuron"
"160","Eef1a2","iNeuron"
"161","Fam126b","iNeuron"
"162","Entpd6","iNeuron"
"163","Nap1l3","iNeuron"
"164","Ppp1r2","iNeuron"
"165","Usp28","iNeuron"
"166","Sobp","iNeuron"
"167","Grik2","iNeuron"
"168","Atcay","iNeuron"
"169","Pnma2","iNeuron"
"170","Abhd8","iNeuron"
"171","Ankrd50","iNeuron"
"172","Nalcn","iNeuron"
"173","Tmem169","iNeuron"
"174","Gnal","iNeuron"
"175","Ubfd1","iNeuron"
"176","Aak1","iNeuron"
"177","Hdac9","iNeuron"
"178","Sms","iNeuron"
"179","Sel1l3","iNeuron"
"180","Elavl4","iNeuron"
"181","Pink1","iNeuron"
"182","Slc6a17","iNeuron"
"183","Npas3","iNeuron"
"184","Robo2","iNeuron"
"185","Stxbp1","iNeuron"
"186","Kif5a","iNeuron"
"187","Kcnc2","iNeuron"
"188","Blcap","iNeuron"
"189","Parm1","iNeuron"
"190","Fchsd2","iNeuron"
"191","Prkaca","iNeuron"
"192","Armcx4","iNeuron"
"193","Ina","iNeuron"
"194","Slc2a3","iNeuron"
"195","Gatsl2","iNeuron"
"196","Cacna2d3","iNeuron"
"197","Zfp385b","iNeuron"
"198","Pde4d","iNeuron"
"199","Ncald","iNeuron"
"200","Clmp","iNeuron"
"201","Amigo1","iNeuron"
"202","Neto2","iNeuron"
"203","Magee1","iNeuron"
"204","Rusc1","iNeuron"
"205","Dlg3","iNeuron"
"206","Srgap3","iNeuron"
"207","Fem1b","iNeuron"
"208","Atp6v0e2","iNeuron"
"209","Dnajc27","iNeuron"
"210","Ttbk2","iNeuron"
"211","Cdk14","iNeuron"
"212","Dnajc6","iNeuron"
"213","Sult4a1","iNeuron"
"214","Caskin1","iNeuron"
"215","Chpf","iNeuron"
"216","Clip4","iNeuron"
"217","Snx25","iNeuron"
"218","Scai","iNeuron"
"219","Crtac1","iNeuron"
"220","Csrnp3","iNeuron"
"221","Clstn2","iNeuron"
"222","Mblac2","iNeuron"
"223","Epm2aip1","iNeuron"
"224","Socs5","iNeuron"
"225","Scn3b","iNeuron"
"226","Tbc1d9","iNeuron"
"227","Klhl8","iNeuron"
"228","Astn1","iNeuron"
"229","Mpdz","iNeuron"
"230","Vgf","iNeuron"
"231","Gnl1","iNeuron"
"232","Fam19a5","iNeuron"
"233","Lrp11","iNeuron"
"234","Reep1","iNeuron"
"235","Faim2","iNeuron"
"236","Mast1","iNeuron"
"237","Faxc","iNeuron"
"238","Mapk8ip2","iNeuron"
"239","Cd200","iNeuron"
"240","Dlat","iNeuron"
"241","Chic1","iNeuron"
"242","Arnt2","iNeuron"
"243","Fam102b","iNeuron"
"244","Scn3a","iNeuron"
"245","Adam22","iNeuron"
"246","Adar","iNeuron"
"247","Flrt3","iNeuron"
"248","Dync1i1","iNeuron"
"249","Agtpbp1","iNeuron"
"250","Zfp941","iNeuron"
"251","Grsf1","iNeuron"
"252","Gpr158","iNeuron"
"253","Sorcs3","iNeuron"
"254","Dusp26","iNeuron"
"255","Pam","iNeuron"
"256","Chchd10","iNeuron"
"257","Sptbn4","iNeuron"
"258","Lancl1","iNeuron"
"259","Btbd1","iNeuron"
"260","Bri3bp","iNeuron"
"261","Nat8l","iNeuron"
"262","Cyb561","iNeuron"
"263","Lgi1","iNeuron"
"264","Chga","iNeuron"
"265","Pacsin1","iNeuron"
"266","Zbtb4","iNeuron"
"267","Myo5a","iNeuron"
"268","Itsn1","iNeuron"
"269","Lrrtm2","iNeuron"
"270","Tspan5","iNeuron"
"271","Syt13","iNeuron"
"272","B4galt6","iNeuron"
"273","Sfxn3","iNeuron"
"274","Cited2","iNeuron"
"275","Fbxo9","iNeuron"
"276","Gfpt1","iNeuron"
"277","Efr3a","iNeuron"
"278","Dzip3","iNeuron"
"279","Spats2l","iNeuron"
"280","Clip3","iNeuron"
"281","Cnnm1","iNeuron"
"282","Samd4","iNeuron"
"283","Fam57b","iNeuron"
"284","Bbs4","iNeuron"
"285","Dapk1","iNeuron"
"286","Cand1","iNeuron"
"287","Ugcg","iNeuron"
"288","Armcx2","iNeuron"
"289","Flot1","iNeuron"
"290","Ogfod1","iNeuron"
"291","B3galnt1","iNeuron"
"292","Atp13a2","iNeuron"
"293","Kcnab2","iNeuron"
"294","Fto","iNeuron"
"295","Scn1a","iNeuron"
