"","cellname","cluster","celltype","nUMI"
"X1772071015_C02","X1772071015_C02",1,"iNeuron",7902
"X1772071017_G12","X1772071017_G12",1,"iNeuron",8035
"X1772071017_A05","X1772071017_A05",1,"iNeuron",11971
"X1772071014_B06","X1772071014_B06",1,"iNeuron",12309
"X1772067065_H06","X1772067065_H06",1,"iNeuron",8390
"X1772071017_E02","X1772071017_E02",1,"iNeuron",9768
"X1772067065_B07","X1772067065_B07",1,"iNeuron",12360
"X1772071014_E04","X1772071014_E04",1,"iNeuron",8755
"X1772071015_D04","X1772071015_D04",1,"iNeuron",9164
"X1772071015_C11","X1772071015_C11",1,"iNeuron",6703
"X1772071017_D04","X1772071017_D04",1,"iNeuron",10848
"X1772071017_D06","X1772071017_D06",1,"iNeuron",12886
"X1772071017_F09","X1772071017_F09",1,"iNeuron",13045
"X1772071017_A09","X1772071017_A09",1,"iNeuron",15181
"X1772071015_C08","X1772071015_C08",1,"iNeuron",8655
"X1772071017_A03","X1772071017_A03",1,"iNeuron",15694
"X1772071017_F07","X1772071017_F07",1,"iNeuron",15131
"X1772071017_E06","X1772071017_E06",1,"iNeuron",13074
"X1772067066_C10","X1772067066_C10",1,"iNeuron",6099
"X1772071017_B05","X1772071017_B05",1,"iNeuron",9399
"X1772071014_E06","X1772071014_E06",1,"iNeuron",12692
"X1772071014_B04","X1772071014_B04",1,"iNeuron",7529
"X1772067066_B09","X1772067066_B09",1,"iNeuron",10080
"X1772071017_E10","X1772071017_E10",1,"iNeuron",5659
"X1772071015_B08","X1772071015_B08",1,"iNeuron",9687
"X1772071014_C11","X1772071014_C11",1,"iNeuron",8641
"X1772067066_E10","X1772067066_E10",1,"iNeuron",6216
"X1772067065_F11","X1772067065_F11",1,"iNeuron",7207
"X1772071014_H11","X1772071014_H11",1,"iNeuron",10190
"X1772071017_B11","X1772071017_B11",1,"iNeuron",8317
"X1772071014_A07","X1772071014_A07",1,"iNeuron",13302
"X1772071017_B03","X1772071017_B03",1,"iNeuron",7437
"X1772071015_B04","X1772071015_B04",1,"iNeuron",8583
"X1772071014_D03","X1772071014_D03",1,"iNeuron",5979
"X1772067065_D06","X1772067065_D06",1,"iNeuron",8233
"X1772067066_H08","X1772067066_H08",1,"iNeuron",5255
"X1772071017_G11","X1772071017_G11",1,"iNeuron",9514
"X1772071014_H12","X1772071014_H12",1,"iNeuron",9488
"X1772071015_F03","X1772071015_F03",1,"iNeuron",9035
"X1772071015_B11","X1772071015_B11",1,"iNeuron",11562
"X1772071014_G10","X1772071014_G10",1,"iNeuron",9438
"X1772067066_B07","X1772067066_B07",1,"iNeuron",5244
"X1772067065_G01","X1772067065_G01",1,"iNeuron",5133
"X1772071015_F07","X1772071015_F07",1,"iNeuron",16974
"X1772067065_E07","X1772067065_E07",1,"iNeuron",9575
"X1772071015_C10","X1772071015_C10",1,"iNeuron",6106
"X1772067063_E06","X1772067063_E06",1,"iNeuron",7124
"X1772067065_A11","X1772067065_A11",1,"iNeuron",13786
"X1772071015_G12","X1772071015_G12",1,"iNeuron",12247
"X1772067065_D01","X1772067065_D01",1,"iNeuron",6535
"X1772071015_A02","X1772071015_A02",1,"iNeuron",10559
"X1772071014_F01","X1772071014_F01",1,"iNeuron",5035
"X1772071015_D06","X1772071015_D06",1,"iNeuron",10408
"X1772071017_B02","X1772071017_B02",1,"iNeuron",18763
"X1772071017_D07","X1772071017_D07",1,"iNeuron",16002
"X1772071017_A11","X1772071017_A11",1,"iNeuron",7884
"X1772071017_B01","X1772071017_B01",1,"iNeuron",7868
"X1772071017_C07","X1772071017_C07",1,"iNeuron",13879
"X1772071015_H11","X1772071015_H11",1,"iNeuron",8136
"X1772071014_A05","X1772071014_A05",1,"iNeuron",6812
"X1772071017_A10","X1772071017_A10",1,"iNeuron",9441
"X1772071017_C08","X1772071017_C08",1,"iNeuron",9222
"X1772071017_B09","X1772071017_B09",1,"iNeuron",5247
"X1772067066_A09","X1772067066_A09",1,"iNeuron",4363
"X1772067065_A12","X1772067065_A12",1,"iNeuron",5344
"X1772071015_G04","X1772071015_G04",1,"iNeuron",7350
"X1772067066_B02","X1772067066_B02",1,"iNeuron",7337
"X1772071015_E06","X1772071015_E06",1,"iNeuron",8518
"X1772067064_E04","X1772067064_E04",1,"iNeuron",11635
"X1772071015_C01","X1772071015_C01",1,"iNeuron",7715
"X1772071014_F06","X1772071014_F06",1,"iNeuron",6846
"X1772071017_D10","X1772071017_D10",1,"iNeuron",12447
"X1772071017_C05","X1772071017_C05",1,"iNeuron",8567
"X1772071014_E05","X1772071014_E05",1,"iNeuron",8095
"X1772071017_E04","X1772071017_E04",1,"iNeuron",14698
"X1772058148_D08","X1772058148_D08",1,"iNeuron",5138
"X1772067065_F07","X1772067065_F07",1,"iNeuron",7125
"X1772062128_G08","X1772062128_G08",1,"iNeuron",3152
"X1772063077_B03","X1772063077_B03",1,"iNeuron",4480
"X1772062114_H03","X1772062114_H03",1,"iNeuron",7945
"X1772062114_E02","X1772062114_E02",1,"iNeuron",7740
"X1772063068_G07","X1772063068_G07",1,"iNeuron",2500
"X1772062115_A12","X1772062115_A12",1,"iNeuron",4262
"X1772062113_F08","X1772062113_F08",1,"iNeuron",2713
"X1772062115_G05","X1772062115_G05",1,"iNeuron",6325
"X1772063064_G08","X1772063064_G08",1,"iNeuron",5022
"X1772071040_A12","X1772071040_A12",1,"iNeuron",7056
"X1772063078_F01","X1772063078_F01",1,"iNeuron",6248
"X1772063078_F12","X1772063078_F12",1,"iNeuron",3684
"X1772062115_C05","X1772062115_C05",1,"iNeuron",2363
"X1772063064_G03","X1772063064_G03",1,"iNeuron",3824
"X1772062128_D11","X1772062128_D11",1,"iNeuron",4079
"X1772063078_B02","X1772063078_B02",1,"iNeuron",5556
"X1772062111_G03","X1772062111_G03",1,"iNeuron",2281
"X1772063061_H03","X1772063061_H03",1,"iNeuron",2837
"X1772067065_A02","X1772067065_A02",1,"iNeuron",5488
