"","spot_1_1","spot_1_2","spot_1_3","spot_1_4","spot_1_5","spot_1_6","spot_1_7","spot_1_8","spot_1_9","spot_2_1","spot_2_2","spot_2_3","spot_2_4","spot_2_5","spot_2_6","spot_2_7","spot_2_8","spot_2_9","spot_3_1","spot_3_2","spot_3_3","spot_3_4","spot_3_5","spot_3_6","spot_3_7","spot_3_8","spot_3_9","spot_4_1","spot_4_2","spot_4_3","spot_4_4","spot_4_5","spot_4_6","spot_4_7","spot_4_8","spot_4_9","spot_5_1","spot_5_2","spot_5_3","spot_5_4","spot_5_5","spot_5_6","spot_5_7","spot_5_8","spot_5_9","spot_6_1","spot_6_2","spot_6_3","spot_6_4","spot_6_5","spot_6_6","spot_6_7","spot_6_8","spot_6_9","spot_7_1","spot_7_2","spot_7_3","spot_7_4","spot_7_5","spot_7_6","spot_7_7","spot_7_8","spot_7_9","spot_8_1","spot_8_2","spot_8_3","spot_8_4","spot_8_5","spot_8_6","spot_8_7","spot_8_8","spot_8_9","spot_9_1","spot_9_2","spot_9_3","spot_9_4","spot_9_5","spot_9_6","spot_9_7","spot_9_8","spot_9_9","spot_10_3","spot_10_4","spot_10_5","spot_10_6"
"Tshz1",2,0,0,0,4,5,0,0,2,2,0,2,4,8,3,6,6,1,3,6,10,5,3,4,7,9,0,3,0,12,3,4,2,8,7,2,5,2,3,6,3,0,4,8,3,1,1,9,7,3,6,4,2,4,1,11,9,11,9,6,5,0,1,6,7,4,2,8,4,1,5,5,6,2,2,4,5,1,1,3,2,0,0,2,3
"Fnbp1l",0,0,1,1,2,8,4,1,0,1,0,3,0,7,4,8,2,4,3,4,7,5,2,5,7,6,1,3,7,13,6,8,6,4,2,2,2,4,4,5,3,6,4,3,3,1,3,7,4,6,5,9,3,3,2,10,8,3,3,4,9,0,1,2,8,5,3,7,2,9,0,1,6,2,1,6,1,3,6,5,1,2,2,2,6
"Adamts15",0,0,1,3,3,1,0,0,2,0,2,4,2,4,2,4,3,4,0,2,4,3,3,0,3,3,1,2,1,5,3,3,8,3,1,3,6,1,2,3,2,4,3,2,1,0,1,4,0,2,1,5,1,0,2,4,12,1,2,5,2,2,2,2,2,3,1,3,0,2,2,0,0,2,0,4,0,0,3,5,1,0,0,0,2
"Cldn12",0,0,2,0,2,1,1,0,0,0,0,3,3,6,2,3,3,0,0,2,3,0,3,2,2,1,0,4,1,8,1,1,6,2,3,0,1,3,4,1,10,4,4,0,4,0,3,5,3,3,1,1,4,6,2,2,4,6,4,4,2,2,2,3,4,3,3,1,1,3,1,2,4,0,3,2,2,3,4,3,2,0,0,0,6
"Rxfp1",1,3,1,3,2,5,1,0,0,1,1,5,1,4,4,5,4,1,0,3,6,1,1,4,5,6,3,2,2,11,2,1,10,4,3,1,7,0,3,5,2,3,5,1,5,1,9,3,3,3,2,5,3,4,2,6,11,9,5,2,8,1,0,5,11,3,4,3,3,2,1,5,5,1,1,9,1,2,4,7,3,0,0,1,0
"Sema3c",0,0,0,2,3,1,0,0,0,1,2,2,3,0,2,9,5,1,1,0,9,2,3,3,7,4,0,1,2,7,4,2,7,2,2,1,2,2,1,2,4,7,4,1,2,1,1,3,0,4,4,5,5,2,2,1,2,3,1,5,6,0,1,1,5,2,3,2,1,2,2,0,1,1,3,5,2,2,3,3,1,2,2,0,2
"Apbb1ip",0,0,0,2,0,5,0,0,2,2,0,3,0,3,5,1,0,3,0,0,1,4,3,2,0,2,0,0,3,5,5,6,7,5,0,0,3,0,2,4,4,1,2,0,3,0,1,1,0,2,0,7,1,3,0,4,4,7,1,3,5,1,0,2,2,0,1,1,1,0,0,2,0,0,2,2,0,3,2,4,1,0,1,0,0
"Frem2",1,2,0,1,5,6,4,0,0,3,2,1,6,5,6,3,9,5,3,7,9,5,5,5,4,5,2,2,3,9,3,4,7,6,4,1,6,3,4,5,4,8,4,5,4,1,5,9,4,6,2,11,3,8,4,4,10,10,6,7,3,2,1,5,6,7,2,6,2,6,0,2,3,1,4,6,3,7,3,4,5,0,0,0,2
"Deptor",0,1,0,1,0,2,0,0,0,0,0,4,2,2,1,3,1,1,6,3,4,1,1,2,3,5,1,0,2,2,2,4,5,3,0,1,3,0,0,3,5,5,1,1,2,0,1,10,3,3,2,7,3,0,3,5,4,3,4,0,6,0,4,4,3,2,4,3,1,1,4,1,2,1,1,0,0,3,3,3,0,1,0,0,5
"Klhl13",2,0,1,2,1,2,0,0,0,2,3,9,2,5,6,7,6,4,1,6,5,5,5,3,2,5,3,3,2,4,8,6,7,4,4,1,5,4,3,4,7,6,7,4,5,2,4,4,3,1,4,6,2,6,0,5,8,5,12,8,6,1,5,2,4,2,3,7,1,5,3,5,2,4,3,4,0,2,6,0,0,0,4,0,2
"Tnfaip8l3",1,0,1,2,3,9,2,0,1,0,1,6,2,4,6,16,5,3,1,5,2,5,1,7,4,4,2,5,6,4,5,2,10,3,1,2,4,4,1,5,2,4,6,6,4,1,3,9,5,1,5,9,6,3,0,7,12,6,6,4,7,2,2,1,4,7,6,7,1,7,3,1,2,2,0,8,0,7,2,4,1,1,2,1,5
"Ascl1",0,0,2,0,0,3,3,0,1,0,0,4,2,2,3,2,5,4,0,1,4,0,1,2,2,3,1,0,4,4,2,5,5,2,2,1,4,2,1,3,1,2,0,2,0,0,0,3,0,0,1,3,2,2,1,5,6,4,3,2,3,1,2,3,2,2,2,4,0,4,2,0,0,1,1,2,1,0,2,3,2,0,1,0,0
"Atp1b2",6,4,6,8,34,25,9,2,9,1,53,38,58,56,22,80,39,24,6,20,50,21,12,30,15,22,4,41,48,65,38,25,39,17,37,11,16,39,17,29,40,35,18,22,14,14,17,57,28,26,13,39,12,16,10,29,33,38,33,31,19,6,36,34,27,10,16,24,27,30,9,12,16,4,29,28,8,32,21,21,6,3,5,0,9
"Tmem132e",1,2,0,2,2,1,0,0,0,0,0,4,4,3,0,20,2,2,1,1,2,0,0,2,1,2,0,0,3,5,1,2,4,2,2,2,1,4,4,6,2,3,1,2,2,1,3,3,3,2,0,3,2,0,1,2,3,4,6,4,1,2,0,0,2,2,1,5,0,0,0,1,2,1,2,6,1,2,4,3,0,0,0,1,1
"Prkar2b",0,1,0,3,3,7,0,0,3,0,1,4,2,3,5,6,4,6,1,6,4,2,1,6,4,2,2,2,2,7,2,4,8,2,6,2,4,1,3,7,3,3,2,5,4,1,3,3,2,2,1,6,2,1,2,9,9,2,5,6,4,1,1,1,6,1,3,6,4,1,3,3,3,1,1,6,0,4,4,6,1,0,1,1,2
"Necab1",0,1,0,1,1,3,2,0,1,0,4,5,3,3,3,11,2,5,2,3,5,5,5,5,0,5,2,5,2,4,6,1,10,3,6,0,4,0,0,5,3,3,4,2,2,2,4,6,4,4,4,4,4,6,2,5,7,8,6,2,4,2,1,4,3,2,3,3,1,3,2,0,2,0,0,5,1,5,1,4,0,2,1,0,5
